"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 308	('sharks'", 'activity', 'port', 'captive', 'rms', 'jackson', 'shark', 'kadar', 'accelerometer'," 'captivity')	(0.03712936716222222", 0.024241501532237773, 0.018894123597547385, 0.018038864044884736, 0.014830389847612127, 0.014368277665839568,0.013556335, 0.012611845122711213,0.012211376, 0.012066905628768691)
"Topic 309	('detection'", 'counting', 'observers', 'count', 'quadrat', 'quadrats', 'probability', 'closure', 'counts'," 'unlimited')	(0.043176750457615785",0.039050334,0.028697048, 0.027750756994180333,0.020097986,0.020000198,0.019278728,0.017955873,0.017838316, 0.016906972509469397)
"Topic 310	('cocoa'", 'shade', 'albizia', 'soil', 'canarium', 'litterfall', 'ceiba', 'milicia', 'dacryodes'," 'unshaded')	(0.0688383897532056",0.044973844,0.024596346, 0.022817133038551037,0.021655208, 0.021296255989270235, 0.019989422764778844,0.019459052, 0.018613006396934306, 0.017160325704015433)
"Topic 311	('clusters'", 'jombart', 'dapc', 'rembi', 'pritchard', 'admixture', 'allele', 'runs', 'rosenberg'," 'discriminant')	(0.014675507357863781", 0.013737149084487974, 0.013520476886414801,0.009674114,0.009143736,0.008814309,0.008603552,0.008265239,0.008116409, 0.008096886476787428)
"Topic 312	('synchrony'", 'stochasticity', 'demographic', 'ibm', 'environmental', 'simulations', 'mazancourt', 'interspecific', 'capita'," 'fluctuations')	(0.038096638382091826",0.036973393, 0.016088982240641363, 0.013554723267179393, 0.012439691638097636, 0.011088859973881223,0.008624651,0.008033032,0.007031392, 0.006736459265485027)
"Topic 313	('lepturus'", 'subspecies', 'europae', 'whitetailed', 'tropicbirds', 'ascensionis', 'europa', 'fulvus', 'corre'," 'catesbyi')	(0.037468708499115634",0.030402862, 0.024102885222180983,0.021781895, 0.021737327843744516,0.020977049,0.01953047, 0.016788769237196955,0.0167806, 0.015817479270728758)
"Topic 314	('boldness'", 'bolder', 'personality', 'shyer', 'winddir', 'windsp', 'wind', 'lod', 'ms1'," 'windspawinddir')	(0.05284521970151947", 0.027000387107622585,0.023399103, 0.022268249955453522, 0.018643010833625503, 0.018643010833625503, 0.017923179018455093, 0.017211697205787142, 0.013372669284337712, 0.01318654937262482)
"Topic 315	('boars'", 'resting', 'wild', 'villages', 'boar', 'rss', 'inactive', 'hunting', 'rest'," 'sleep')	(0.044874608451192045", 0.040294387385342426, 0.023289163814719925, 0.020224014297740733, 0.017773533423654207, 0.016204247953680157, 0.014410262709127855, 0.014095239089246096, 0.014075291670101665, 0.012130316233165479)
"Topic 316	('cockles'", 'cockle', 'examples', 'cultural', 'ces', 'spain', 'countries', 'ireland', 'sub'," 'portugal')	(0.06366428358588007",0.053424001,0.040083463,0.032974407, 0.028139097071495915, 0.019431390323919585, 0.019191559538126197, 0.018866908055946305, 0.016031116949201098, 0.013899960037751596)
"Topic 317	('aedes'", 'aegypti', 'mosquito', 'africa', 'powell', 'culicidae', 'mosquitoes', 'fever', 'kotsakiozi'," 'vector')	(0.05907730907231322",0.054577018, 0.026617691629449176, 0.018396085561685052, 0.017341629755827887, 0.015935274898110655,0.014578166, 0.013620494632376755,0.01356086, 0.012200203571064458)
"Topic 318	('compensatory'", 'parasites', 'hosts', 'manipulation', 'host', 'parasite', 'predation', 'transmission', 'benets'," 'strategy')	(0.03878528886696768",0.033911769,0.031049437, 0.023853256882645824, 0.023044001973793152, 0.019793780213879137, 0.015061679358019086, 0.014968551082690103, 0.012705503288887098, 0.011807102008938633)
"Topic 319	('edges'", 'interior', 'edge', 'forest', 'bird', 'exterior', 'birds', 'open', 'habitat'," 'halder')	(0.0376999711184762", 0.031066014161020734, 0.028447662590725446, 0.019919960070951283, 0.018403382372437826, 0.017488080901636463, 0.012651411759181006, 0.012272549259879306, 0.011967036973901266, 0.009948435579949861)
"Topic 320	('movement'", 'patches', 'enrichment', 'optimal', 'resource', 'mvt', 'residence', 'patch', 'decelerating'," 'typeiv')	(0.02750500375129185", 0.027085224256816684,0.022530081, 0.020824135761963947, 0.017562577804736506,0.017148447,0.015635022,0.013072164, 0.012502397067269064, 0.011328343706545339)
"Topic 321	('apb'", 'bromeliad', 'bromeliads', 'otus', 'tank', 'phototrophic', 'vergne', 'anoxygenic', 'heliconia'," 'tanks')	(0.05468346391153043", 0.026637405977830583, 0.025648572587752008,0.024679031,0.022808041, 0.010632137499675917,0.009844995,0.009814149,0.009181803, 0.008597023977092406)
"Topic 322	('litter'", 'decomposition', 'ingold', 'detritivores', 'microcosms', 'conidial', 'co2', 'fungal', '88c'," 'temperature')	(0.018456955835822506", 0.017522216008178063, 0.014786249816373841,0.0120188, 0.011909343763499964, 0.010397040342052051,0.009803907,0.009546533,0.009544367, 0.009018428181478617)
"Topic 323	('germination'", 'provenance', 'shadehouse', 'ecotype', 'germinated', 'transplantation', 'fdiv', 'seeds', 'growthassociated'," 'seedlings')	(0.029108665284740733",0.021878993, 0.020127184404764947,0.01849373, 0.015252516758926244, 0.013041663321377196, 0.012978497862610938, 0.012836333842499274, 0.012288189972413563, 0.011993187038840334)
"Topic 324	('succession'", 'bf', 'facilitationdriven', 'gn', 'nxer', 'xation', 'nxation', 'nxing', 'gp'," 'sn')	(0.06081767949314565",0.032136017, 0.029001572757970526, 0.024516297261454944, 0.023493497101648116, 0.021992603392034602, 0.021601151950635243,0.021506576, 0.019162025743183323, 0.01644529356588359)
"Topic 325	('spines'", 'defence', 'spine', 'spiny', 'les', 'leaf', 'defences', 'structural', 'fibre'," 'spmf')	(0.04973881330678267",0.039670337,0.036984594, 0.035324241022382706, 0.029048362270158664,0.028340256,0.02362098,0.021043068, 0.017495437774953593, 0.017254123902649854)
"Topic 326	('subtidal'", 'canopy', 'kelp', 'northeast', 'algae', 'acidication', 'calcied', 'seaweed', 'kelps'," 'canopies')	(0.01816540535722414", 0.017237895770816282, 0.016029306894337444, 0.015319556476285039, 0.013405418214458663, 0.013278976148599379, 0.012812782129936112, 0.012071615966586874, 0.011760689047754787, 0.011504756726241957)
"Topic 327	('pike'", 'perch', 'windermere', '78year', 'apexes', 'fish', 'oscillations', 'basin', 'foodweb'," 'phosphorus')	(0.042824977233447976", 0.037623582197287245, 0.023627287690263815, 0.016144774558504355, 0.016086703189804378, 0.014898620719237195,0.013346025, 0.012994361658608497, 0.012635634274528655, 0.012439103660277156)
"Topic 328	('riparian'", 'genetic', 'respondents', 'conservation', 'alimpi', 'he', '08122022', 'besjournalsonlinelibrarywileycomdoi1011111365266414247', 'ljubljana'," 'nigra')	(0.05417668580169248",0.01657413, 0.014881420290469361,0.013126865, 0.013045320958082626,0.010544123,0.00976265,0.00976265,0.009350618, 0.009080467431775416)
"Topic 329	('062'", '065', '053', '052', '042', '050', '040', '038', '037'," '047')	(0.4930659673945153", 0.2858818953684457, 0.28488640091359685, 0.28488640091359685, 0.28087410152784276, 0.2798902152767238, 0.27963394285107507, 0.27961612380025186, 0.27931197451919604, 0.2769219177989651)
"Topic 330	('ews'", 'probabilistic', 'tvar', 'bandwidth', 'ptvar', 'error', 'ar', 'dakos', 'series'," 'autocorrelation')	(0.03584171977031819", 0.025844766799160635, 0.023907531512800406, 0.019332015938770916,0.017143029,0.015860487,0.015443559, 0.014822553456595665, 0.014740013980593993, 0.014110587728921762)
"Topic 331	('camera'", 'video', 'traps', 'triggers', 'false', 'underpass', 'meek', 'recording', 'wildlife'," 'crossing')	(0.0695619705580515", 0.032401362422203366, 0.030729107858917522, 0.022194729443736523, 0.021985912278014164, 0.021885871604935703, 0.021454715802603663, 0.020826464565481696,0.01943012, 0.019331337184000964)
"Topic 332	('rhythms'", 'amplitude', 'circadian', 'phase', 'sleep', 'competition', 'day', 'specialization', 'angle'," 'activity')	(0.027440438145025295", 0.024692319408236806, 0.022489093624214414, 0.016104337989893636, 0.013530859920840905, 0.011000159716569256,0.01036956,0.01025837, 0.010186041237224228, 0.009871007340988946)
"Topic 333	('matching'", 'choice', 'dispersal', 'habitat', 'range', 'random', 'thermal', 'emigration', 'mode'," 'probability')	(0.046187751443176946", 0.034502848370958565, 0.028150009153554232, 0.016254803520646424,0.016094035, 0.014633021490503538, 0.013847561928509396, 0.012859870726228467,0.011690122, 0.01108478538791835)
"Topic 334	('nematodes'", 'nematode', 'lakes', 'traunspurger', 'altitudinal', 'altitude', 'mendoza', 'nonchironomid', 'catalan'," 'ferris')	(0.03382610460474763", 0.027015706260080596, 0.024624931295609078, 0.020505928294043553, 0.020282253951810353, 0.019526703549974142, 0.015250128535342404, 0.014138456144639114, 0.012534313995915916, 0.011619623432658642)
"Topic 335	('psts2'", 'psts1', 'striiformis', 'scar', 'isolates', 'hovmller', 'strains', 'markers', 'aflp'," 'puccinia')	(0.062147388361384",0.058917505, 0.039598695357917796,0.038778969, 0.038204252163737004, 0.027882217639089473, 0.027094769729465232,0.021767796, 0.021214818441588117, 0.0199938477781303)
"Topic 336	('krill'", 'hsp70', 'antarctic', 'crystallorophias', 'superba', 'paralog', 'cascella', 'heatshock', 'krills'," 'papot')	(0.03164225026355203", 0.029582649747783095, 0.023175375783877943, 0.020648223217052102, 0.018637410177652747, 0.016053776995522198, 0.013051588719004338, 0.013024180043740204, 0.012367337363144002, 0.012210168791006441)
"Topic 337	('cti'", 'gbif', 'sliding', 'rsti', 'fourcade', 'ci95', 'window', 'occurrences', 'adapted'," 'gained')	(0.04054141238802024",0.026347242, 0.024414134381190108, 0.018166143700957465, 0.015055961374837508, 0.013520385049672071, 0.012112298355985424, 0.011150713854468997, 0.010738994626917834, 0.00907981309351814)
"Topic 338	('brackish'", 'taxa', 'coalescence', 'microbial', 'freshwater', 'microbiomes', 'microbiome', 'endmember', 'iceb'," 'brackishcoalescence')	(0.039820492486588636", 0.026905592438571345,0.026466264, 0.021304501349846204, 0.021113774542626085, 0.020834067227404683,0.019589334, 0.019131483567719362, 0.016307049750500863, 0.015476751657159811)
"Topic 339	('strain'", 'evolved', 'od', 'strains', 'community', 'evolution', 'phenotype', 'ancestral', 'raynaud'," 'environment')	(0.04229244005273554", 0.040264517854062445,0.034289699,0.030252767, 0.024184730004151014,0.014844014, 0.014246448323630473, 0.013879750385935918, 0.012963341889337354, 0.012641618486711519)
"Topic 340	('boar'", 'growth', 'gompertz', 'body', 'veylit', 'chteauvillain', 'wild', 'mass', 'monomolecular'," 'gaillard')	(0.026193679346482722", 0.021214234849295393, 0.019143531166552243, 0.018403969382463598, 0.018262531660127014,0.016291514, 0.013619967975176844, 0.013037791145714867,0.012804122, 0.01254531384497568)
"Topic 341	('age'", 'class', 'probabilities', 'recruitment', 'cri', 'pt', 'females', 'survival', 'recapture'," 'breeding')	(0.029647786403111383", 0.018972659019068777, 0.016714699502812302, 0.016060004352373324, 0.013814285889843021, 0.013142249287470952, 0.011003488493230969, 0.010649081964628654, 0.010278067334973473, 0.010230270965705985)
"Topic 342	('emissions'", 'emission', 'bvoc', 'compound', 'methanol', 'hr1', 'sesquiterpenes', 'decomposition', 'monoterpenes'," 'months')	(0.05592291606254581", 0.044435147465444344, 0.044320412223440374,0.034100643,0.028889729, 0.025213256463885135, 0.024169350551276437, 0.023647704361912377,0.023169908, 0.022239710320891566)
"Topic 343	('novelty'", 'roc', 'cal', 'bp', 'baseline', 'earlyholocene', 'baselines', 'emergence', 'radeloff'," 'closest')	(0.09701486257167104",0.035197618, 0.031313534344132775, 0.022595240831836463, 0.020454325732636256, 0.018369159899261318,0.017050204,0.015649289, 0.015391663519195922, 0.014452484455624606)
"Topic 344	('voxels'", 'canopy', 'top', 'irradiance', 'lad', 'ltds', 'sinoquet', 'sunlit', 'leaf'," 'canopies')	(0.045530569400552445", 0.027933812140458758,0.026063229,0.022830384,0.0222282, 0.021666944362933867,0.020764155,0.019286487, 0.019197827751503187, 0.017228829093653343)
"Topic 345	('gppsat'", 'photosynthetic', 'capacity', 'gppsatstructure', 'lai', 'ecosystem', 'apar', 'efp', 'gpp'," 'fluxnet')	(0.04739620384870092",0.037242012, 0.023269857458901613, 0.023107258495558138, 0.019669391445163248, 0.016440262875307116,0.015790712, 0.013082047664629923, 0.012459301249279717, 0.012435052690378397)
"Topic 346	('uplift'", 'orographic', 'flight', 'collision', 'thermal', 'hazard', 'soaring', 'height', 'condors'," 'vultures')	(0.07659914399759866", 0.033986564115365304,0.031451466,0.028458924, 0.025141947737259727, 0.023042381099761963,0.022292741,0.01944204, 0.018571570619858483, 0.01651314148574105)
"Topic 347	('harvesting'", 'harvest', 'fluctuations', 'population', 'quasi', 'ricker', 'density', 'multiplicative', 'engen'," 'beverton')	(0.04658931131131751",0.036266183, 0.020652572272299677,0.01657595, 0.011169024821430293, 0.011126258061245299, 0.010842265247339587, 0.010384507523828945,0.009271924, 0.008892997959272482)
"Topic 348	('migratory'", 'destinations', 'surplus', 'migration', 'virtual', 'somveille', 'tracking', 'resources', 'season'," 'distance')	(0.0314714229211724",0.02452494, 0.021277054871081575, 0.017079434342926515, 0.015793908372475463,0.015515481, 0.014827992365070493,0.009794743,0.009561114, 0.00946339422155978)
"Topic 349	('moll1'", 'advantage', 'competitive', 'phosphate', 'raphidocelis', 'chlorella', 'max', 'ref', 'nutrient'," 'ankistrodesmus')	(0.03651245925532971", 0.028330498505965623, 0.024835054843168523, 0.023522519860621538,0.018622684, 0.018142119363466838, 0.017804317387204706, 0.017135315190912118, 0.016964031911230037, 0.015742029186458124)
"Topic 350	('mesa'", 'companion', 'ladybirds', 'dispensers', 'orchards', 'chamber', 'dispenser', 'windtunnel', 'arrangement'," 'olfactometer')	(0.07668636042313863",0.055719621, 0.052909538807731596, 0.038253247796919916,0.034465997,0.021482853, 0.019331410159754498, 0.018448222068137284,0.018093341, 0.017217017119448605)
"Topic 351	('posterior'", 'mcmc', 'simslist', 'iterations', 'parameter', 'iteration', 'trace', 'estimate', 'chains'," 'gamma')	(0.021016387712482588", 0.016028812423457755, 0.015582909380709505,0.013227792, 0.013204958797674051, 0.013101674946035625, 0.011832531194272843,0.008192399,0.008061343, 0.007898709793021281)
"Topic 352	('elephants'", 'rainfall', 'distant', 'false', 'migration', 'herds', 'season', 'dry', 'start'," 'chamailljammes')	(0.035462790262367046", 0.032821489230989154, 0.023423287597679112, 0.023004990570319614,0.01985047, 0.019760594534862782,0.016142147, 0.015959309912377418,0.014575205, 0.014224357305571454)
"Topic 353	('eco'", 'evolutionary', 'modulators', 'timescales', 'evolution', 'theatre', 'slow', 'fast', 'available'," 'ecological')	(0.030502269195557145", 0.018953403170674073, 0.018541179070700492, 0.016978236827618613, 0.011740718026714803,0.009878202,0.009526957,0.009346491,0.008743361, 0.008105160712262059)
"Topic 354	('neighborhood'", 'litter', 'synergy', 'mixture', 'dissimilarity', 'decomposition', 'mixtures', 'littermixture', 'decomposers'," 'synergistic')	(0.0396467488439271", 0.034060256045931575,0.032267008,0.028301871, 0.021505205670982335,0.021280201, 0.020832596512831657,0.018999903, 0.015754753810958866, 0.015585783074149833)
"Topic 355	('scheme'", 'pollination', 'monitoring', 'pollinator', 'volunteer', 'professional', 'schemes', 'annex', 'costs'," 'pan')	(0.03614204997632973",0.026283907,0.025261592, 0.024336163642497344, 0.022244501558636096,0.020938189, 0.018448561614001754, 0.014896676092790873, 0.014229532429504251, 0.012952517502310093)
"Topic 356	('microhabitat'", 'comimetic', 'homomorphic', 'morph', 'heterogeneous', 'resource', 'hom', 'similarity', 'assortative'," 'mimicry')	(0.08974370908200145",0.055372325,0.054711235,0.041324102,0.032053727, 0.030777673213728648, 0.029858083310082262,0.027428749, 0.027286972281294904, 0.026187552931489205)
"Topic 357	('occupancy'", 'singlevisit', 'bottlenose', 'spaceuse', 'dolphins', 'atsea', 'integrated', 'repeatedvisit', 'gridcell'," 'detection')	(0.07575866599047208",0.040025303, 0.025735949799943907,0.025231355,0.023587939, 0.020711504198947836, 0.020172225552199698,0.018776646,0.016780784, 0.015100100157761136)
"Topic 358	('sediment'", 'coral', 'pollution', 'larvae', 'coralreef', 'fish', 'cues', 'red', 'live'," 'reef')	(0.038836147100432324",0.036801339, 0.028741259785853023, 0.026838160281604514,0.025257908, 0.024229046531658166, 0.022943167919970614, 0.022859219590140346, 0.018910831686645334, 0.018768165277940847)
"Topic 359	('invaded'", 'alien', 'pristine', 'native', 'fgd', 'aliennative', 'functional', 'ftd', 'unigenes'," 'expression')	(0.026229939054972017",0.025450354, 0.023811970196740216, 0.023522303768506076,0.02116658, 0.016303076841198867, 0.014350226073366045, 0.014092386181120945,0.01266096, 0.011816915270020956)
"Topic 360	('deer'", 'ger', 'frantz', 'yes', 'belgian', 'pol', 'zachos', 'red', 'ne'," 'belgium')	(0.038733135053113966", 0.027114836055352688, 0.024528161212178295, 0.024399979288667523, 0.023041053898656023, 0.020753409689492283,0.019018867,0.018776929, 0.017511705401085858, 0.016834631898501706)
"Topic 361	('distinctiveness'", 'functionally', 'fitness', 'distinct', 'sink', 'landscape', 'trait', 'intrinsic', 'functional'," 'case')	(0.03593336839135934",0.02206728, 0.020814758220616347, 0.020579484663336426, 0.012706105397561434, 0.012019150602523662, 0.011696529388436634,0.009561053,0.009444857, 0.00892472478445045)
"Topic 362	('chernobyl'", 'aquaticus', 'dose', 'radiation', 'asellus', 'genetic', 'accident', 'glubokoye', 'contamination'," 'contaminated')	(0.043985226646661484",0.038850644,0.034322078,0.02661751,0.019630572, 0.017199652372212434, 0.015322252922728142, 0.012130818800933975,0.011424637, 0.011325874860924309)
"Topic 363	('smr'", 'amreld', 'swimming', 'fishes', 'fsa', 'mmr', 'metabolic', 'fmr', 'mr'," 'scaling')	(0.03881336734862873",0.036089617, 0.023922413246505667,0.022268099, 0.021431906896398477, 0.021269222411549906, 0.018413321496782348,0.018365795, 0.014782400823934724, 0.0135236780206168)
"Topic 364	('photogrammetry'", 'beaks', 'beak', '3d', 'scanning', 'imaging', 'ct', 'micro', 'objects'," 'ommastrephes')	(0.050936655166273215", 0.045353618243073934, 0.037709993862005825,0.02857843, 0.024700782402092367, 0.018706278038203836,0.018498334, 0.018416925206853403, 0.017775204513416534, 0.017337252023154053)
"Topic 365	('accessions'", 'wheat', 'domestication', 'modern', 'tetraploid', 'durum', 'domesticated', 'turgidum', 'leaf'," 'locust')	(0.036251400435783045",0.031274261,0.030323259, 0.020056550876809704, 0.016053727517858846, 0.015716651982221462, 0.015627107266594463, 0.013501754762337143, 0.013002237555561057, 0.012107066831628674)
"Topic 366	('andean'", 'andes', 'pteronymia', 'oleriina', 'dircennina', 'diversification', 'speciation', 'godyridina', 'chazot'," 'classe')	(0.05149857739325789",0.044368763,0.043140903, 0.028747068896394334,0.028733589, 0.021953519032291615, 0.018079749950678764,0.017295707, 0.016429863751446908, 0.013552451629185246)
"Topic 367	('lynx'", 'roe', 'deer', 'hunting', 'crepuscular', 'activity', 'diurnality', 'dawn', 'dusk'," 'crepuscularity')	(0.040331538725654176",0.02525143, 0.024642960720755676, 0.020298227727410956, 0.018985257472596617, 0.018394087341100086, 0.017625341913769254,0.015983891, 0.015677289702142425, 0.014476736158606486)
"Topic 368	('agc'", 'carbon', 'accumulation', 'forest', 'chazdon', 'guiana', 'tropical', 'secondary', 'yr'," 'forests')	(0.01892913135498361", 0.018448873301520768,0.017796163, 0.016322688853074863, 0.014362387439063571,0.013913519, 0.013857025233181254, 0.012981208377340637, 0.011869497865860328, 0.01072217941029589)
"Topic 369	('striped'", 'bass', 'disease', 'chesapeake', 'mycobacteriosis', 'diseased', 'state1', 'rappahannock', 'dermal'," 'groner')	(0.060003665308736895",0.04818854, 0.041942895417033894,0.032432645, 0.030973349114377127,0.02934336, 0.023640535589325655,0.023474248,0.01858378, 0.018258706843175636)
"Topic 370	('dph'", 'sex', 'determination', 'vandeputte', 'bass', 'piferrer', '21c', 'dicentrarchus', 'labrax'," '16c')	(0.05409393442609576", 0.027862123325635837, 0.023045101203976893, 0.022564065050491244, 0.022506631297389532, 0.021813158945310458,0.016890676,0.016111117, 0.016073217145859874, 0.015492226493366849)
"Topic 371	('encounter'", 'predatorprey', 'overlap', 'prey', 'ccp', 'predators', 'predation', 'encounters', 'predator'," 'risk')	(0.03489233738758761",0.029075893, 0.028573509215242092,0.024095963,0.019285377, 0.015992597457053215, 0.015945573575835786,0.014283159, 0.013955240680048492, 0.012209868692662074)
"Topic 372	('re'", 'caledonia', 'wildre', 'risk', 'ignition', 'oneoff', 'burn', 'maquis', 'vegetation'," 'sclerophyll')	(0.04375306948392794", 0.030244590743681823, 0.029688490998039236, 0.029025177380014276,0.024327034,0.018292715, 0.017650436932502695, 0.015742095102308756,0.01552567, 0.0148160895080553)
"Topic 373	('puuv'", 'bank', 'hantavirus', 'vole', 'puumala', 'glareolus', 'voles', 'sweden', 'myodes'," 'tolerance')	(0.03500217838484286", 0.030877719166675473, 0.028038140737091932,0.022243364, 0.018978264877084133,0.018692094, 0.016692996323699683,0.015655941, 0.012529145544880684, 0.011754177836021763)
"Topic 374	('haploops'", 'concarneau', 'bay', 'vilaine', 'abec', 'habitat', 'habitats', 'benthic', 'amphiuraowenia'," 'mobility')	(0.0478945213515001",0.026839327, 0.025770533396415902, 0.021030554542420997, 0.018977024604810298, 0.014771736099320885, 0.013630141449743992, 0.012852014979690999, 0.011608883274792568, 0.011331328205007247)
"Topic 375	('cognitive'", 'stressors', 'chronic', 'cabirol', 'lnrr', 'pesticide', 'apis', 'lncvr', 'acute'," 'stressor')	(0.04011590972770297",0.029641559, 0.024834342972690732,0.024290687,0.023101275, 0.022451990119432618,0.021510745, 0.020869408630129427,0.020866398, 0.01925233502469529)
"Topic 376	('nue'", 'rhizosphere', 'nitrate', 'microbial', 'bacterial', 'plant', 'bacteria', 'nitrophily', 'nitratereducing'," 'microorganisms')	(0.021745254580090596", 0.019161825457327385,0.014575576, 0.013667141174293861, 0.013207805646344993, 0.012425651854764273, 0.012141968870464396, 0.011427060172699453,0.011262582, 0.011198644932034877)
"Topic 377	('medaka'", 'gh', 'pituitary', 'maturation', 'line', 'fsh', 'hormone', 'selection', 'heino'," 'dph')	(0.03744936964907555", 0.024046069743178387, 0.023993907241330444, 0.020545635345462415,0.020412862, 0.016166128710689488, 0.015755496366840923,0.015720524, 0.014880448282895177, 0.012627955302222875)
"Topic 378	('digestibility'", 'ns', 'ldmc', 'communityweighted', 'regimes', 'herbage', 'tdv', 'fag', 'duru'," 'management')	(0.07219445713671048", 0.025374745487390986,0.019049277, 0.018362785686749126,0.015336748,0.015031247, 0.013446200380759308, 0.013306389783978896, 0.012067807546102727, 0.011938456015025072)
"Topic 379	('behavioural'", 'predictability', 'diurnality', 'riiv', 'bears', 'movement', 'bearid', 'bearyear', 'predictable'," 'hertel')	(0.0513513398805201", 0.044083125135707175, 0.035057668555860344, 0.025744728176568227, 0.021704038352476196, 0.021684144845865044, 0.019913156485130895, 0.019913156485130895, 0.017746510979636438, 0.015495931698095987)
"Topic 380	('maculatum'", 'floral', 'odour', 'inflorescences', 'pollinator', 'grisescens', 'phalaenoides', 'vocs', 'psychodidae'," 'arum')	(0.050049186094512",0.038182981, 0.035343224596678845, 0.028467167441129603,0.025817502,0.024332274, 0.024208979904814843, 0.022457982970531733, 0.021999374484413893, 0.016519166865399504)
"Topic 381	('metabolic'", 'reactions', 'niche', 'flux', 'reaction', 'organism', 'fluxes', 'exchange', 'space'," 'palsson')	(0.06070846135168815",0.039521096,0.034205682, 0.022583550433006378, 0.018897625772852367, 0.014316152537490459, 0.013959090259906645,0.010979208, 0.010701965223654852, 0.009994755080355227)
"Topic 382	('beaugrand'", 'marine', 'plankton', 'progress', 'atlantic', 'tipperne', 'lindley', 'mowed', 'martinvide'," 'vejlerne')	(0.017522486871939004", 0.012912302963092542, 0.010246935850050607,0.009252102,0.009220476,0.009095231,0.009052982,0.008981044,0.008130902, 0.007385119026705019)
"Topic 383	('senescence'", 'vipers', 'baron', 'mortality', 'age', 'pace', 'actuarial', 'negligible', 'baudisch'," 'newborn')	(0.033574617011008064", 0.024147000311130182, 0.018569367956181762, 0.018143733447034294, 0.018065515050070532,0.018006358, 0.016722311971609744, 0.014279923752639966, 0.012915212286364067, 0.012475926362997105)
"Topic 384	('vole'", 'tawny', 'owls', 'natal', 'petty', 'brommer', 'kielder', 'senescence', 'pietia'," 'inen')	(0.029356586468497498",0.028959477, 0.024181447204096065, 0.016340162898461647, 0.016227977882303617, 0.013218667360356923, 0.013006770243881197,0.012794665, 0.011676450696810706, 0.011676450696810706)
"Topic 385	('macrophyte'", 'macrophytes', 'light', 'phenotypes', 'nutrient', 'nutrients', 'depth', 'alternative', 'zm'," 'attenuation')	(0.025196033784137904", 0.019930970218713207,0.019145584,0.017279383, 0.015631754113312465, 0.015425438918473007, 0.015287716371726965,0.01494448, 0.014765768962388598, 0.014087093897519281)
"Topic 386	('residues'", 'rediscretisation', 'movements', 'interpolation', 'ground', 'junction', 'earwigs', 'concealed', 'tracking'," 'trajectories')	(0.04134772855435584", 0.033745148426958534,0.031310851, 0.029416810800223424,0.028886352, 0.023915738001593464, 0.023632760483424175, 0.021442461143758477, 0.018967707152246955, 0.017691272381655767)
"Topic 387	('waterbodies'", 'eutrophication', 'hypertrophic', 'enriched', 'waterbody', 'taxonomic', 'macrophytes', 'status', 'dragonies'," 'nutrient')	(0.08692625053874577", 0.036585448541242835, 0.026183943626411913, 0.020126518063397002, 0.019039975141288138, 0.014368046971702523, 0.013783754396444959, 0.013256133966436703, 0.013200782375674437, 0.012953071944863214)
"Topic 388	('skr'", 'kurtosis', 'distributions', 'trait', 'skewness', 'scenarios', 'disruptive', 'skewnesskurtosis', 'skrs'," 'scenario')	(0.04022141161992946", 0.031053943871777474, 0.025880215689739465, 0.025656997160785306,0.022778846,0.01957988,0.019328443, 0.018040665715803917, 0.017174884418358648, 0.01629032465529594)
"Topic 389	('rubber'", 'agroforests', 'agroforestry', 'mo', 'af', 'thailand', 'yields', 'monocultures', 'warrenthomas'," 'plot')	(0.08400885214087711", 0.034683899050127746, 0.027736738043961467, 0.023205815596639076, 0.022989312797077298, 0.021796662465276596, 0.018600408539555517,0.01843306, 0.016916918469150798, 0.014027835873921445)
"Topic 390	('subgroup'", 'fusion', 'buffalo', 'hro', 'fissionfusion', 'fission', 'cape', 'season', 'gnp'," 'knp')	(0.06014304537797134", 0.044724720832331415,0.035369837,0.033744049, 0.033046965915736914,0.032555851,0.028892544,0.022401797, 0.018647585038503188, 0.018557853378599626)
"Topic 391	('coral'", 'reef', 'reefs', 'id', 'adjeroud', 'chancerelle', 'kayal', 'caribbean', 'penin'," 'michonneau')	(0.030560572384836282", 0.023971871493364126,0.020275549,0.009171385,0.00778472,0.007260802,0.006832721,0.006832576,0.006003476, 0.00580864131171063)
"Topic 392	('ladybirds'", 'aphidophagous', 'coccidophagous', 'coccids', 'coccid', 'ladybird', 'aphids', 'dixon', 'investment'," 'ovariole')	(0.04209389012327024", 0.031219736081874037, 0.029677331707496302,0.025905143, 0.021472918963790482,0.020039686, 0.019715695290280742, 0.017246963816972546, 0.013795782487698223, 0.011836050313109291)
"Topic 393	('highsensitivity'", 'intact', 'footprint', 'protected', 'ecoregions', 'ecoregion', 'sensitivity', 'human', 'intactness'," 'protection')	(0.0406679755168072", 0.037329389512543124, 0.029980335368002396,0.025071236,0.024806609, 0.020987070389182867, 0.020165682860487852,0.017403565, 0.016368224637062632, 0.012228244153056286)
"Topic 394	('chipmunks'", 'hibernation', 'seasonal', 'survival', 'rhythm', 'mortality', 'seasons', 'fallwinter', 'chipmunk'," 'siberian')	(0.02065114096441124", 0.019797390487386254,0.016458979, 0.016007886402427632, 0.014910120158838105,0.014178732, 0.013154083322339099, 0.012438519149574884, 0.010967475821524903, 0.010463601902846814)
